alpha_neural,variant,seed,accuracy,balanced_accuracy,macro_f1_13,regional_macro_f1,weighted_f1,mcc,ece_15,brier,worst_present_dialect_f1,examples
0.07500000000000001,M1,1701,0.8599335807774956,0.7772891276754712,0.7909135429018751,0.781039283211285,0.858855132231167,0.8384483332571492,0.012813255029636457,0.2008529094943452,0.4225352112676056,10238.0
0.07500000000000001,M1,2903,0.8593475288142215,0.7764776017104615,0.7905261282396784,0.780518158788149,0.8582867997968725,0.8377770501182161,0.013688139684895203,0.2008633609463469,0.4225352112676056,10238.0
0.07500000000000001,M1,4307,0.860324282086345,0.7778661771908459,0.7927797684836067,0.7829759816533409,0.859280762643925,0.8388913804273692,0.014739569325442887,0.20125683472381017,0.4397163120567376,10238.0
0.1,M0,1701,0.8601289314319203,0.7763552133197731,0.790355921818396,0.7802390519447582,0.8590231184571084,0.8386707703865292,0.015954168096494976,0.19917885539394758,0.4195804195804196,10238.0
0.1,M0,2903,0.860617308067982,0.7763603541567322,0.7912801541249638,0.7811980357622725,0.8594173915054393,0.839228192356242,0.015600789903370162,0.1986653928202714,0.42028985507246375,10238.0
0.1,M0,4307,0.8612033600312561,0.7763215249186401,0.7911270431085409,0.7810612051637863,0.8599978482705596,0.8398836249642868,0.01614708390914072,0.1986104019767583,0.4142857142857143,10238.0
0.1,M1,1701,0.8620824379761672,0.7791363953292636,0.7933248429545485,0.7834685942414396,0.8610002739600647,0.8409233827648603,0.016082070809205297,0.19852319685933573,0.4225352112676056,10238.0
0.1,M1,2903,0.8614963860128931,0.7780743899777369,0.7925924191869848,0.7826032651009784,0.8603645084652949,0.8402449733543387,0.01594069737178882,0.19854335280639326,0.425531914893617,10238.0
0.1,M1,4307,0.8615940613401055,0.7789233020540801,0.7941256418830469,0.7842541421140736,0.8605225608256721,0.8403469921164947,0.015654882213620585,0.19904790143397066,0.4397163120567376,10238.0
0.125,M0,1701,0.8615940613401055,0.7777912463422335,0.7919525784743056,0.781821820555848,0.860482451196944,0.840359155014959,0.01918131221440787,0.1971640666831025,0.4225352112676056,10238.0
0.125,M0,2903,0.8623754639578043,0.7793185643014952,0.7935980473456752,0.7835622888477093,0.8611237465366314,0.8412570249733995,0.019407623061089938,0.19653227315403696,0.4233576642335766,10238.0
0.125,M0,4307,0.862863840593866,0.7769413592162079,0.7920839133563279,0.7819836297483312,0.8616006978895159,0.8417941386031924,0.018122948352117543,0.1964552000472171,0.4057971014492754,10238.0
0.125,M1,1701,0.8632545419027153,0.7799892684866733,0.7944258538185021,0.7845863416367105,0.8621366838215211,0.8422708168990184,0.01882357045478256,0.19635157612606974,0.425531914893617,10238.0
0.125,M1,2903,0.862863840593866,0.7805476017620054,0.7948601448890779,0.7849849845493746,0.8617237889284176,0.8418245111775567,0.018511042181081818,0.196384546907044,0.425531914893617,10238.0
0.125,M1,4307,0.8632545419027153,0.7813427044701466,0.7963106989708391,0.7865524546559675,0.862193364899138,0.84226294957754,0.018765776388452535,0.196990128846882,0.4397163120567376,10238.0
0.15000000000000002,M0,1701,0.8634498925571401,0.7798610460064831,0.793931047415755,0.7839066232061485,0.8623893183383478,0.8425011295807573,0.022145106787653347,0.195304536829508,0.4166666666666667,10238.0
0.15000000000000002,M0,2903,0.8644266458292635,0.7819606957570053,0.7968699989794896,0.7870125534451219,0.8631696511317775,0.8436143223573686,0.02279248083310017,0.194558426220265,0.43478260869565216,10238.0
0.15000000000000002,M0,4307,0.8647196718109006,0.7782843587400087,0.7940057349449,0.7839023022826095,0.8633714637072923,0.8439229345045771,0.0213551627114434,0.19445593702916703,0.40875912408759124,10238.0
0.15000000000000002,M1,1701,0.8648173471381129,0.7818051662452425,0.7961737126306824,0.786421299459318,0.8636955093097738,0.8440764312763103,0.022512051035809447,0.19433804729454712,0.425531914893617,10238.0
